Sample Number,Name,Depth From,Depth To,X,Y,Z,Length,Al2O3,Fe,Fe (raw + gaussian),final lithology,final lithology-sel[Rich ore],final lithology-sel[Poor ore],Indicator rich ore,Mn,P,SiO2
249,Line#10,78.8717,79.167,1505.00,2931.71,598.15,0.295296,,,,,0,0,,,,
250,Line#10,79.167,79.4226,1505.00,2931.57,597.91,0.255539,,,,Rich ore,1,0,1.00,,,
251,Line#10,79.4226,80.6989,1505.00,2931.19,597.25,1.27632,,,,,0,0,,,,
252,Line#10,80.6989,81.7023,1505.00,2930.63,596.26,1.00344,,,,Rich ore,1,0,1.00,,,
253,Line#10,81.7023,84.5155,1505.00,2929.68,594.60,2.81311,,,,,0,0,,,,
254,Line#10,84.5155,85.1381,1505.00,2928.82,593.11,0.622656,,,,Rich ore,1,0,1.00,,,
255,Line#10,85.1381,96.754,1505.00,2925.78,587.80,11.6159,,,,,0,0,,,,
256,Line#10,96.754,101.596,1505.00,2921.69,580.66,4.84235,,,,Rich ore,1,0,1.00,,,
257,Line#10,101.596,102.519,1505.00,2920.26,578.16,0.922821,,,,,0,0,,,,
258,Line#10,102.519,106.036,1505.00,2919.15,576.24,3.51639,,,,Rich ore,1,0,1.00,,,
259,Line#10,106.036,107.59,1505.00,2917.89,574.04,1.55415,,,,,0,0,,,,
260,Line#10,107.59,109.991,1505.00,2916.91,572.32,2.40133,,,,Rich ore,1,0,1.00,,,
261,Line#10,109.991,110.636,1505.00,2916.15,571.00,0.644981,,,,,0,0,,,,
262,Line#10,110.636,112.096,1505.00,2915.63,570.09,1.4599,,,,Rich ore,1,0,1.00,,,
263,Line#10,112.096,117.163,1505.00,2914.00,567.25,5.06685,,,,,0,0,,,,
264,Line#10,117.163,118.166,1505.00,2912.50,564.62,1.00344,,,,Rich ore,1,0,1.00,,,
265,Line#10,118.166,119.178,1505.00,2911.99,563.75,1.01213,,,,,0,0,,,,
266,Line#10,119.178,141.594,1505.00,2906.17,553.58,22.4156,,13.07,,Poor ore,0,1,0.00,0.23,0.05,
267,Line#11,0,15,1605.75,1971.00,711.19,15,0.94,65.70,-0.45,Rich ore,1,0,1.00,0.08,0.24,0.29
268,Line#11,15,30,1613.25,1971.00,698.20,15,2.94,65.43,-0.53,Rich ore,1,0,1.00,0.09,0.06,0.22
269,Line#11,30,39.1346,1619.28,1971.00,687.75,9.13465,4.67,63.65,-1.06,Rich ore,1,0,1.00,0.09,0.09,0.48
270,Line#11,39.1346,40.1294,1621.82,1971.00,683.37,0.994786,,,,,0,0,,,,
271,Line#11,40.1294,45.752,1623.47,1971.00,680.50,5.62256,,,,Rich ore,1,0,1.00,,,
272,Line#11,45.752,48.7983,1625.64,1971.00,676.75,3.04631,,,,,0,0,,,,
273,Line#11,48.7983,63.7983,1630.15,1971.00,668.94,15,1.32,61.31,-1.44,Rich ore,1,0,1.00,4.20,0.03,0.38
274,Line#11,63.7983,78.7983,1637.65,1971.00,655.95,15,0.71,67.74,0.72,Rich ore,1,0,1.00,0.12,0.03,0.97
275,Line#11,78.7983,93.7983,1645.15,1971.00,642.95,15,0.72,68.44,1.54,Rich ore,1,0,1.00,0.11,0.02,0.46
276,Line#11,93.7983,108.798,1652.65,1971.00,629.96,15,1.82,67.18,0.28,Rich ore,1,0,1.00,0.10,0.03,0.52
277,Line#11,108.798,117.39,1658.55,1971.00,619.75,8.59202,,64.16,-0.95,Rich ore,1,0,1.00,0.18,0.02,
278,Line#11,117.39,132.39,1664.45,1971.00,609.53,15,,20.86,,Poor ore,0,1,0.00,0.55,0.01,
279,Line#11,132.39,140.297,1670.18,1971.00,599.62,7.90695,,24.90,,Poor ore,0,1,0.00,2.40,0.04,
280,Line#12,0,0.600333,1607.15,1175.00,705.94,0.600333,,,,Rich ore,1,0,1.00,,,
281,Line#12,0.600333,2.29839,1607.72,1175.00,704.94,1.69806,,,,,0,0,,,,
282,Line#12,2.29839,22.2037,1613.13,1175.00,695.59,19.9053,0.88,66.16,-0.25,Rich ore,1,0,1.00,0.17,0.16,0.39
283,Line#12,22.2037,25.7028,1618.98,1175.00,685.46,3.49906,,,,,0,0,,,,
284,Line#12,25.7028,27.8039,1620.38,1175.00,683.03,2.10117,,,,Rich ore,1,0,1.00,,,
285,Line#12,27.8039,28.351,1621.04,1175.00,681.89,0.547083,,,,,0,0,,,,
286,Line#12,28.351,34.977,1622.83,1175.00,678.78,6.626,,,,Rich ore,1,0,1.00,,,
287,Line#12,34.977,35.9805,1624.74,1175.00,675.48,1.00344,,,,,0,0,,,,
288,Line#12,35.9805,40.4966,1626.12,1175.00,673.09,4.51616,,,,Rich ore,1,0,1.00,,,
289,Line#12,40.4966,42.0557,1627.64,1175.00,670.46,1.55913,,,,,0,0,,,,
290,Line#12,42.0557,54.1567,1631.06,1175.00,664.54,12.101,0.49,67.76,0.73,Rich ore,1,0,1.00,0.10,0.04,0.68
291,Line#12,54.1567,54.6541,1634.21,1175.00,659.09,0.497393,,,,,0,0,,,,
292,Line#12,54.6541,67.2028,1637.47,1175.00,653.44,12.5487,0.53,67.48,0.50,Rich ore,1,0,1.00,0.15,0.06,0.59
293,Line#12,67.2028,68.6007,1640.96,1175.00,647.40,1.39789,,,,,0,0,,,,
294,Line#12,68.6007,75.899,1643.13,1175.00,643.63,7.29829,,,,Rich ore,1,0,1.00,,,
295,Line#12,75.899,77.0327,1645.24,1175.00,639.98,1.13371,,,,,0,0,,,,
296,Line#12,77.0327,89.6397,1648.67,1175.00,634.03,12.607,0.59,63.25,-1.12,Rich ore,1,0,1.00,2.43,0.02,1.05
297,Line#12,89.6397,90.6432,1652.08,1175.00,628.14,1.00344,,,,,0,0,,,,
298,Line#12,90.6432,94.595,1653.32,1175.00,625.99,3.95181,,,,Rich ore,1,0,1.00,,,
299,Line#12,94.595,96.8487,1654.87,1175.00,623.31,2.25375,,,,,0,0,,,,
300,Line#12,96.8487,97.3908,1655.57,1175.00,622.10,0.542033,,,,Rich ore,1,0,1.00,,,
301,Line#12,97.3908,97.9415,1655.84,1175.00,621.62,0.550727,,,,,0,0,,,,
302,Line#12,97.9415,105.289,1657.81,1175.00,618.20,7.34793,,,,Rich ore,1,0,1.00,,,
303,Line#12,105.289,106.79,1660.03,1175.00,614.37,1.50083,,,,Poor ore,0,1,0.00,,,
304,Line#12,106.79,108.497,1660.83,1175.00,612.98,1.70672,,,,Rich ore,1,0,1.00,,,
305,Line#12,108.497,109.595,1661.53,1175.00,611.77,1.09772,,,,,0,0,,,,
306,Line#12,109.595,111.696,1662.33,1175.00,610.38,2.10117,,,,Rich ore,1,0,1.00,,,
307,Line#12,111.696,111.996,1662.93,1175.00,609.34,0.300167,,,,,0,0,,,,
308,Line#12,111.996,118.497,1664.63,1175.00,606.40,6.50072,,,,Rich ore,1,0,1.00,,,
309,Line#12,118.497,120.137,1666.67,1175.00,602.87,1.63976,,,,,0,0,,,,
310,Line#12,120.137,135.898,1671.02,1175.00,595.34,15.7613,1.93,64.72,-0.81,Rich ore,1,0,1.00,0.18,0.05,2.14
311,Line#12,135.898,136.081,1675.00,1175.00,588.44,0.183575,,,,,0,0,,,,
312,Line#12,136.081,138.613,1675.68,1175.00,587.26,2.53161,,,,Rich ore,1,0,1.00,,,
313,Line#12,138.613,139.33,1676.50,1175.00,585.85,0.716938,,,,,0,0,,,,
314,Line#12,139.33,144.455,1677.96,1175.00,583.32,5.12517,,,,Rich ore,1,0,1.00,,,
315,Line#12,144.455,145.055,1679.39,1175.00,580.84,0.600333,,,,,0,0,,,,
316,Line#12,145.055,146.498,1679.90,1175.00,579.96,1.44253,,,,Rich ore,1,0,1.00,,,
317,Line#12,146.498,147.004,1680.39,1175.00,579.12,0.506063,,,,,0,0,,,,
318,Line#12,147.004,168.679,1685.93,1175.00,569.51,21.6753,1.25,64.67,-0.83,Rich ore,1,0,1.00,0.24,0.08,1.02
319,Line#12,168.679,170.283,1691.75,1175.00,559.43,1.60378,,,,,0,0,,,,
320,Line#12,170.283,174.755,1693.27,1175.00,556.80,4.47152,,,,Rich ore,1,0,1.00,,,
321,Line#12,174.755,181.3,1696.03,1175.00,552.03,6.54537,,,,Poor ore,0,1,0.00,,,
322,Line#13,0,10.16,1007.00,1.00,730.80,10.16,0.84,66.04,-0.29,Rich ore,1,0,1.00,0.06,0.18,0.87
323,Line#13,10.16,10.68,1007.00,1.00,725.46,0.52,,,,,0,0,,,,
324,Line#13,10.68,20.81,1007.00,1.00,720.13,10.13,0.64,66.56,-0.06,Rich ore,1,0,1.00,0.07,0.12,0.42
325,Line#13,20.81,25.97,1007.00,1.00,712.49,5.16,,,,,0,0,,,,
326,Line#13,25.97,29.02,1007.00,1.00,708.38,3.05,,,,Rich ore,1,0,1.00,,,
327,Line#13,29.02,30.55,1007.00,1.00,706.10,1.53,,,,,0,0,,,,
328,Line#13,30.55,34.46,1007.00,1.00,703.38,3.91,,,,Rich ore,1,0,1.00,,,
329,Line#13,34.46,37.57,1007.00,1.00,699.87,3.11,,,,,0,0,,,,
330,Line#13,37.57,38.17,1007.00,1.00,698.01,0.6,,,,Rich ore,1,0,1.00,,,
331,Line#13,38.17,40.23,1007.00,1.00,696.68,2.06,,,,,0,0,,,,
332,Line#13,40.23,41.23,1007.00,1.00,695.15,1,,,,Rich ore,1,0,1.00,,,
333,Line#13,41.23,42.3,1007.00,1.00,694.12,1.07,,,,,0,0,,,,
334,Line#13,42.3,43.2,1007.00,1.00,693.13,0.9,,,,Rich ore,1,0,1.00,,,
335,Line#13,43.2,44.35,1007.00,1.00,692.11,1.15,,,,,0,0,,,,
336,Line#13,44.35,44.92,1007.00,1.00,691.25,0.57,,,,Rich ore,1,0,1.00,,,
337,Line#13,44.92,45.42,1007.00,1.00,690.71,0.5,,,,,0,0,,,,
338,Line#13,45.42,46.29,1007.00,1.00,690.02,0.87,,,,Rich ore,1,0,1.00,,,
339,Line#13,46.29,46.92,1007.00,1.00,689.27,0.63,,,,,0,0,,,,
340,Line#13,46.92,48.12,1007.00,1.00,688.36,1.2,,,,Rich ore,1,0,1.00,,,
341,Line#13,48.12,49.99,1007.00,1.00,686.83,1.87,,,,,0,0,,,,
342,Line#13,49.99,53.06,1007.00,1.00,684.36,3.07,,,,Rich ore,1,0,1.00,,,
343,Line#13,53.06,54.58,1007.00,1.00,682.06,1.52,,,,,0,0,,,,
344,Line#13,54.58,55.76,1007.00,1.00,680.71,1.18,,,,Rich ore,1,0,1.00,,,
345,Line#13,55.76,56.49,1007.00,1.00,679.75,0.73,,,,,0,0,,,,
346,Line#13,56.49,62.21,1007.00,1.00,676.53,5.72,,,,Rich ore,1,0,1.00,,,
347,Line#13,62.21,62.91,1007.00,1.00,673.32,0.7,,,,,0,0,,,,
348,Line#13,62.91,63.71,1007.00,1.00,672.57,0.8,,,,Rich ore,1,0,1.00,,,
349,Line#13,63.71,64.31,1007.00,1.00,671.87,0.6,,,,,0,0,,,,
350,Line#13,64.31,75.9,1007.00,1.00,665.77,11.59,0.31,68.71,2.03,Rich ore,1,0,1.00,0.10,0.01,0.58
351,Line#13,75.9,76.49,1007.00,1.00,659.68,0.59,,,,,0,0,,,,
352,Line#13,76.49,85.04,1007.00,1.00,655.12,8.55,1.63,67.21,0.30,Rich ore,1,0,1.00,0.08,0.02,0.46
353,Line#13,85.04,86.44,1007.00,1.00,650.14,1.4,,,,,0,0,,,,
354,Line#13,86.44,91.75,1007.00,1.00,646.78,5.31,,,,Rich ore,1,0,1.00,,,
355,Line#13,91.75,92.35,1007.00,1.00,643.83,0.6,,,,,0,0,,,,
356,Line#13,92.35,93.35,1007.00,1.00,643.03,1,,,,Rich ore,1,0,1.00,,,
357,Line#13,93.35,93.96,1007.00,1.00,642.23,0.61,,,,,0,0,,,,
358,Line#13,93.96,100.7,1007.00,1.00,638.55,6.74,,,,Rich ore,1,0,1.00,,,
359,Line#13,100.7,102.22,1007.00,1.00,634.42,1.52,,,,Poor ore,0,1,0.00,,,
360,Line#13,102.22,103.75,1007.00,1.00,632.89,1.53,,,,,0,0,,,,
361,Line#13,103.75,109.37,1007.00,1.00,629.32,5.62,,,,Rich ore,1,0,1.00,,,
362,Line#13,109.37,110.87,1007.00,1.00,625.76,1.5,,,,,0,0,,,,
363,Line#13,110.87,114.25,1007.00,1.00,623.32,3.38,,,,Rich ore,1,0,1.00,,,
364,Line#13,114.25,116.5,1007.00,1.00,620.50,2.25,,,,,0,0,,,,
365,Line#13,116.5,128.45,1007.00,1.00,613.40,11.95,1.09,67.01,0.18,Rich ore,1,0,1.00,0.56,0.03,0.66
366,Line#13,128.45,129.65,1007.00,1.00,606.83,1.2,,,,,0,0,,,,
367,Line#13,129.65,130.7,1007.00,1.00,605.70,1.05,,,,Rich ore,1,0,1.00,,,
368,Line#13,130.7,133.35,1007.00,1.00,603.86,2.65,,,,,0,0,,,,
369,Line#13,133.35,134.15,1007.00,1.00,602.13,0.8,,,,Rich ore,1,0,1.00,,,
370,Line#13,134.15,134.67,1007.00,1.00,601.47,0.52,,,,,0,0,,,,
371,Line#13,134.67,138.3,1007.00,1.00,599.39,3.63,,,,Rich ore,1,0,1.00,,,
372,Line#13,138.3,138.5,1007.00,1.00,597.48,0.2,,,,,0,0,,,,
373,Line#13,138.5,146.01,1007.00,1.00,593.63,7.51,2.24,64.80,-0.79,Rich ore,1,0,1.00,0.88,0.03,0.67
374,Line#13,146.01,151.2,1007.00,1.00,587.27,5.19,,,,Poor ore,0,1,0.00,,,
375,Line#13,151.2,152.13,1007.00,1.00,584.22,0.93,,,,,0,0,,,,
376,Line#13,152.13,155.13,1007.00,1.00,582.25,3,,,,Poor ore,0,1,0.00,,,
377,Line#14,0,15,1401.00,-26.00,766.52,15,0.73,65.44,-0.52,Rich ore,1,0,1.00,0.07,0.22,0.17
378,Line#14,15,30,1401.00,-26.00,751.52,15,2.12,65.04,-0.69,Rich ore,1,0,1.00,0.10,0.04,0.41
379,Line#14,30,46.3,1401.00,-26.00,735.87,16.3,1.18,67.54,0.54,Rich ore,1,0,1.00,0.10,0.02,0.61
380,Line#14,46.3,46.87,1401.00,-26.00,727.43,0.57,,,,,0,0,,,,
381,Line#14,46.87,57.23,1401.00,-26.00,721.97,10.36,0.74,68.17,1.18,Rich ore,1,0,1.00,0.06,0.01,0.68
382,Line#14,57.23,57.43,1401.00,-26.00,716.69,0.2,,,,,0,0,,,,
383,Line#14,57.43,57.99,1401.00,-26.00,716.31,0.56,,,,Rich ore,1,0,1.00,,,
384,Line#14,57.99,58.65,1401.00,-26.00,715.70,0.66,,,,,0,0,,,,
385,Line#14,58.65,60.72,1401.00,-26.00,714.33,2.07,,,,Rich ore,1,0,1.00,,,
386,Line#14,60.72,75.72,1401.00,-26.00,705.80,15,,25.92,,Poor ore,0,1,0.00,0.63,0.05,
387,Line#14,75.72,90.72,1401.00,-26.00,690.80,15,,19.90,,Poor ore,0,1,0.00,0.54,0.02,
388,Line#14,90.72,98.28,1401.00,-26.00,679.52,7.56,,19.90,,Poor ore,0,1,0.00,0.54,0.02,
389,Line#14,98.28,98.43,1401.00,-26.00,675.66,0.15,,,,,0,0,,,,
390,Line#14,98.43,113.43,1401.00,-26.00,668.09,15,,11.43,,Poor ore,0,1,0.00,0.22,0.02,
391,Line#14,113.43,123.36,1401.00,-26.00,655.63,9.93,,9.30,,Poor ore,0,1,0.00,0.27,0.02,
392,Line#15,0,15.65,1004.00,345.00,634.21,15.65,2.12,63.69,-1.05,Rich ore,1,0,1.00,0.04,0.19,0.32
393,Line#15,15.65,17.25,1004.00,345.00,625.59,1.6,,,,Poor ore,0,1,0.00,,,
394,Line#15,17.25,25.9,1004.00,345.00,620.46,8.65,2.35,64.57,-0.86,Rich ore,1,0,1.00,0.05,0.09,1.70
395,Line#15,25.9,26.05,1004.00,345.00,616.06,0.15,,,,,0,0,,,,
396,Line#15,26.05,30.85,1004.00,345.00,613.59,4.8,,,,Rich ore,1,0,1.00,,,
397,Line#15,30.85,31.4,1004.00,345.00,610.91,0.55,,,,,0,0,,,,
398,Line#15,31.4,38.52,1004.00,345.00,607.08,7.12,,,,Rich ore,1,0,1.00,,,
399,Line#15,38.52,38.62,1004.00,345.00,603.47,0.1,,,,,0,0,,,,
400,Line#15,38.62,45.6,1004.00,345.00,599.93,6.98,,,,Rich ore,1,0,1.00,,,
401,Line#15,45.6,46.2,1004.00,345.00,596.14,0.6,,,,,0,0,,,,
402,Line#15,46.2,47.17,1004.00,345.00,595.35,0.97,,,,Rich ore,1,0,1.00,,,
403,Line#15,47.17,48.11,1004.00,345.00,594.40,0.94,,,,,0,0,,,,
404,Line#15,48.11,55.85,1004.00,345.00,590.06,7.74,1.06,66.56,-0.06,Rich ore,1,0,1.00,0.05,0.04,0.94
405,Line#15,55.85,56.38,1004.00,345.00,585.92,0.53,,,,,0,0,,,,
406,Line#15,56.38,64.02,1004.00,345.00,581.84,7.64,0.85,66.99,0.16,Rich ore,1,0,1.00,0.04,0.02,1.04
407,Line#15,64.02,64.15,1004.00,345.00,577.95,0.13,,,,,0,0,,,,
408,Line#15,64.15,65.9,1004.00,345.00,577.01,1.75,,,,Rich ore,1,0,1.00,,,
409,Line#15,65.9,68,1004.00,345.00,575.09,2.1,,,,,0,0,,,,
410,Line#15,68,70.72,1004.00,345.00,572.68,2.72,,,,Rich ore,1,0,1.00,,,
411,Line#15,70.72,71.05,1004.00,345.00,571.15,0.33,,,,,0,0,,,,
412,Line#15,71.05,73.47,1004.00,345.00,569.78,2.42,,,,Rich ore,1,0,1.00,,,
413,Line#15,73.47,73.67,1004.00,345.00,568.47,0.2,,,,,0,0,,,,
414,Line#15,73.67,75.1,1004.00,345.00,567.65,1.43,,,,Rich ore,1,0,1.00,,,
415,Line#15,75.1,76.62,1004.00,345.00,566.18,1.52,,,,,0,0,,,,
416,Line#15,76.62,81.04,1004.00,345.00,563.21,4.42,,,,Rich ore,1,0,1.00,,,
417,Line#15,81.04,83.1,1004.00,345.00,559.97,2.06,,,,,0,0,,,,
418,Line#15,83.1,86.66,1004.00,345.00,557.16,3.56,,,,Rich ore,1,0,1.00,,,
419,Line#15,86.66,87.3,1004.00,345.00,555.06,0.64,,,,,0,0,,,,
420,Line#15,87.3,95.47,1004.00,345.00,550.65,8.17,0.89,67.87,0.84,Rich ore,1,0,1.00,0.03,0.02,0.45
421,Line#15,95.47,95.53,1004.00,345.00,546.54,0.06,,,,,0,0,,,,
422,Line#15,95.53,104.85,1004.00,345.00,541.85,9.32,0.84,68.39,1.44,Rich ore,1,0,1.00,0.04,0.02,0.60
423,Line#15,104.85,107.05,1004.00,345.00,536.09,2.2,,,,,0,0,,,,
424,Line#15,107.05,111.6,1004.00,345.00,532.71,4.55,,,,Rich ore,1,0,1.00,,,
425,Line#15,111.6,112.95,1004.00,345.00,529.76,1.35,,,,,0,0,,,,
426,Line#15,112.95,113.7,1004.00,345.00,528.71,0.75,,,,Rich ore,1,0,1.00,,,
427,Line#15,113.7,115.07,1004.00,345.00,527.65,1.37,,,,,0,0,,,,
428,Line#15,115.07,118.69,1004.00,345.00,525.16,3.62,,,,Rich ore,1,0,1.00,,,
429,Line#15,118.69,120.06,1004.00,345.00,522.66,1.37,,,,,0,0,,,,
430,Line#15,120.06,130.96,1004.00,345.00,516.53,10.9,0.39,68.34,1.38,Rich ore,1,0,1.00,0.05,0.02,0.59
431,Line#15,130.96,132.31,1004.00,345.00,510.40,1.35,,,,,0,0,,,,
432,Line#15,132.31,140.31,1004.00,345.00,505.73,8,0.24,68.72,2.05,Rich ore,1,0,1.00,0.05,0.01,0.60
433,Line#15,140.31,140.41,1004.00,345.00,501.68,0.1,,,,,0,0,,,,
434,Line#15,140.41,142.01,1004.00,345.00,500.83,1.6,,,,Rich ore,1,0,1.00,,,
435,Line#15,142.01,143.36,1004.00,345.00,499.35,1.35,,,,,0,0,,,,
436,Line#15,143.36,160.98,1004.00,345.00,489.87,17.62,0.53,68.55,1.80,Rich ore,1,0,1.00,0.05,0.02,0.63
437,Line#15,160.98,163.4,1004.00,345.00,479.85,2.42,,,,,0,0,,,,
438,Line#15,163.4,165.58,1004.00,345.00,477.55,2.18,,,,Rich ore,1,0,1.00,,,
439,Line#15,165.58,165.93,1004.00,345.00,476.28,0.35,,,,,0,0,,,,
440,Line#15,165.93,177.83,1004.00,345.00,470.16,11.9,0.65,68.66,1.98,Rich ore,1,0,1.00,0.05,0.01,0.46
441,Line#15,177.83,178.93,1004.00,345.00,463.66,1.1,,,,,0,0,,,,
442,Line#15,178.93,197.65,1004.00,345.00,453.75,18.72,0.54,68.34,1.37,Rich ore,1,0,1.00,0.04,0.01,0.97
443,Line#15,197.65,197.85,1004.00,345.00,444.29,0.2,,,,,0,0,,,,
444,Line#15,197.85,204.18,1004.00,345.00,441.02,6.33,,,,Rich ore,1,0,1.00,,,
445,Line#15,204.18,205.68,1004.00,345.00,437.11,1.5,,,,,0,0,,,,
446,Line#15,205.68,217.93,1004.00,345.00,430.23,12.25,0.37,68.52,1.70,Rich ore,1,0,1.00,0.05,0.01,0.72
447,Line#15,217.93,219.43,1004.00,345.00,423.36,1.5,,,,,0,0,,,,
448,Line#15,219.43,226.08,1004.00,345.00,419.28,6.65,,,,Rich ore,1,0,1.00,,,
449,Line#15,226.08,226.58,1004.00,345.00,415.71,0.5,,,,,0,0,,,,
450,Line#15,226.58,231.6,1004.00,345.00,412.95,5.02,,,,Rich ore,1,0,1.00,,,
451,Line#15,231.6,233.29,1004.00,345.00,409.59,1.69,,,,,0,0,,,,
452,Line#15,233.29,236.49,1004.00,345.00,407.15,3.2,,,,Rich ore,1,0,1.00,,,
453,Line#15,236.49,237.77,1004.00,345.00,404.91,1.28,,,,,0,0,,,,
454,Line#15,237.77,243.2,1004.00,345.00,401.55,5.43,,,,Rich ore,1,0,1.00,,,
455,Line#15,243.2,244.31,1004.00,345.00,398.28,1.11,,,,Poor ore,0,1,0.00,,,
456,Line#15,244.31,259.31,1004.00,345.00,390.23,15,0.65,68.54,1.79,Rich ore,1,0,1.00,0.15,0.01,0.30
457,Line#15,259.31,268.54,1004.00,345.00,378.11,9.23,0.69,68.37,1.42,Rich ore,1,0,1.00,0.21,0.01,0.43
458,Line#15,268.54,269,1004.00,345.00,373.27,0.46,,,,,0,0,,,,
459,Line#15,269,270.54,1004.00,345.00,372.27,1.54,,,,Rich ore,1,0,1.00,,,
460,Line#15,270.54,271.54,1004.00,345.00,371.00,1,,,,,0,0,,,,
461,Line#15,271.54,274.15,1004.00,345.00,369.19,2.61,,,,Rich ore,1,0,1.00,,,
462,Line#15,274.15,274.81,1004.00,345.00,367.56,0.66,,,,,0,0,,,,
463,Line#15,274.81,277.6,1004.00,345.00,365.83,2.79,,,,Rich ore,1,0,1.00,,,
464,Line#15,277.6,282,1004.00,345.00,362.24,4.4,,,,Poor ore,0,1,0.00,,,
465,Line#16,0,15,1400.00,329.00,655.14,15,1.01,65.82,-0.39,Rich ore,1,0,1.00,0.12,0.29,0.28
466,Line#16,15,30,1400.00,329.00,640.14,15,1.07,67.12,0.25,Rich ore,1,0,1.00,0.08,0.20,0.28
467,Line#16,30,49.74,1400.00,329.00,622.77,19.74,0.40,68.42,1.49,Rich ore,1,0,1.00,0.10,0.04,0.33
468,Line#16,49.74,50.26,1400.00,329.00,612.64,0.52,,,,,0,0,,,,
469,Line#16,50.26,63.88,1400.00,329.00,605.57,13.62,0.78,67.96,0.96,Rich ore,1,0,1.00,0.13,0.04,0.35
470,Line#16,63.88,64.9,1400.00,329.00,598.25,1.02,,,,,0,0,,,,
471,Line#16,64.9,74.76,1400.00,329.00,592.81,9.86,0.82,67.84,0.82,Rich ore,1,0,1.00,0.15,0.04,0.34
472,Line#16,74.76,75.5,1400.00,329.00,587.51,0.74,,,,,0,0,,,,
473,Line#16,75.5,90.5,1400.00,329.00,579.64,15,0.77,67.80,0.78,Rich ore,1,0,1.00,0.13,0.04,0.37
474,Line#16,90.5,105.5,1400.00,329.00,564.64,15,0.66,68.09,1.09,Rich ore,1,0,1.00,0.10,0.04,0.30
475,Line#16,105.5,120.5,1400.00,329.00,549.64,15,0.74,67.63,0.61,Rich ore,1,0,1.00,0.13,0.04,0.36
476,Line#16,120.5,135.5,1400.00,329.00,534.64,15,0.79,67.97,0.98,Rich ore,1,0,1.00,0.43,0.03,0.34
477,Line#16,135.5,150.5,1400.00,329.00,519.64,15,0.43,67.92,0.91,Rich ore,1,0,1.00,0.36,0.02,0.32
478,Line#16,150.5,160.71,1400.00,329.00,507.03,10.21,0.98,66.40,-0.16,Rich ore,1,0,1.00,0.32,0.02,1.91
479,Line#16,160.71,161.37,1400.00,329.00,501.60,0.66,,,,Poor ore,0,1,0.00,,,
480,Line#16,161.37,176.37,1400.00,329.00,493.77,15,0.50,67.91,0.91,Rich ore,1,0,1.00,0.14,0.02,0.48
481,Line#16,176.37,197.2,1400.00,329.00,475.85,20.83,0.78,64.91,-0.75,Rich ore,1,0,1.00,1.50,0.03,1.06
482,Line#16,197.2,205.58,1400.00,329.00,461.25,8.38,,18.57,,Poor ore,0,1,0.00,0.32,0.01,
483,Line#17,0,15.44,1217.00,160.00,706.03,15.44,1.10,66.78,0.04,Rich ore,1,0,1.00,0.07,0.24,0.49
484,Line#17,15.44,16.48,1217.00,160.00,697.79,1.04,,,,,0,0,,,,
485,Line#17,16.48,32.58,1217.00,160.00,689.22,16.1,0.43,68.53,1.74,Rich ore,1,0,1.00,0.16,0.07,0.39
486,Line#17,32.58,33.26,1217.00,160.00,680.83,0.68,,,,,0,0,,,,
487,Line#17,33.26,48.26,1217.00,160.00,672.99,15,0.51,67.96,0.96,Rich ore,1,0,1.00,0.52,0.02,0.48
488,Line#17,48.26,68.6,1217.00,160.00,655.32,20.34,0.35,68.49,1.69,Rich ore,1,0,1.00,0.29,0.02,0.51
489,Line#17,68.6,70.23,1217.00,160.00,644.34,1.63,,,,,0,0,,,,
490,Line#17,70.23,79.99,1217.00,160.00,638.64,9.76,0.64,68.45,1.60,Rich ore,1,0,1.00,0.16,0.02,0.48
491,Line#17,79.99,81.87,1217.00,160.00,632.82,1.88,,,,,0,0,,,,
492,Line#17,81.87,99.72,1217.00,160.00,622.95,17.85,0.73,68.15,1.14,Rich ore,1,0,1.00,0.26,0.02,0.61
493,Line#17,99.72,101.84,1217.00,160.00,612.97,2.12,,,,,0,0,,,,
494,Line#17,101.84,103.52,1217.00,160.00,611.07,1.68,,,,Rich ore,1,0,1.00,,,
495,Line#17,103.52,105.47,1217.00,160.00,609.25,1.95,,,,,0,0,,,,
496,Line#17,105.47,120.47,1217.00,160.00,600.78,15,0.72,67.80,0.78,Rich ore,1,0,1.00,0.27,0.01,0.51
497,Line#17,120.47,132.14,1217.00,160.00,587.44,11.67,1.75,66.15,-0.26,Rich ore,1,0,1.00,0.51,0.02,0.53
498,Line#17,132.14,133.21,1217.00,160.00,581.08,1.07,,,,Poor ore,0,1,0.00,,,
499,Line#17,133.21,141.85,1217.00,160.00,576.22,8.64,0.58,68.39,1.45,Rich ore,1,0,1.00,0.16,0.01,0.54
500,Line#17,141.85,143.21,1217.00,160.00,571.22,1.36,,,,,0,0,,,,
501,Line#17,143.21,144.48,1217.00,160.00,569.90,1.27,,,,Rich ore,1,0,1.00,,,
502,Line#17,144.48,144.61,1217.00,160.00,569.20,0.13,,,,,0,0,,,,
503,Line#17,144.61,159.61,1217.00,160.00,561.64,15,0.52,68.53,1.73,Rich ore,1,0,1.00,0.11,0.01,0.58
504,Line#17,159.61,167.14,1217.00,160.00,550.38,7.53,0.34,68.89,2.36,Rich ore,1,0,1.00,0.11,0.02,0.43
505,Line#17,167.14,167.51,1217.00,160.00,546.42,0.37,,,,,0,0,,,,
506,Line#17,167.51,174.7,1217.00,160.00,542.64,7.19,,,,Rich ore,1,0,1.00,,,
